SCHOOL NAME,ADDRESS,CITY,COUNTY,ZIP,SCHOOL NURSE,SCHOOL NURSE TYPE,SCHOOL TYPE,ENROLLED,% IMMUNE DTAP,% EXEMPT DTAP,% COMPLIANCE DTAP,% IMMUNE POLIO,% EXEMPT POLIO,% COMPLIANCE POLIO,% IMMUNE MMR,% EXEMPT MMR,% COMPLIANCE MMR,% IMMUNE HEP B,% EXEMPT HEP B,% COMPLIANCE HEP B,% IMMUNE VAR,% EXEMPT VAR,% COMPLIANCE VAR,% PBE,% MEDICAL EXEMPT,% PBE ALL
91ST PSALM CHRISTIAN SCHOOL,2020 E BASELINE RD,PHOENIX,MARICOPA,85042,NO,,PRIVATE,<20,83.3%,16.7%,100.0%,83.3%,16.7%,100.0%,83.3%,16.7%,100.0%,94.4%,5.6%,100.0%,94.4%,5.6%,100.0%,16.7%,0.0%,5.6%
A J MITCHELL ELEMENTARY SCHOOL,855 N BAUTISTA ST,NOGALES,SANTA CRUZ,85621,YES,RN,PUBLIC,41,90.2%,7.3%,100.0%,95.1%,4.9%,100.0%,95.1%,4.9%,100.0%,97.6%,0.0%,100.0%,100.0%,0.0%,100.0%,4.9%,0.0%,2.4%
ABIA JUDD ELEMENTARY SCHOOL,1749 WILLIAMSON VALLEY RD,PRESCOTT,YAVAPAI,86305,YES,RN,PUBLIC,79,84.8%,13.9%,98.7%,83.5%,13.9%,97.5%,84.8%,13.9%,98.7%,89.9%,8.9%,98.7%,92.4%,7.6%,100.0%,15.2%,0.0%,6.3%
ABRAHAM LINCOLN TRADITIONAL SCHOOL,10444 N 39TH AVE,PHOENIX,MARICOPA,85051,NO,,PUBLIC,55,92.7%,7.3%,100.0%,92.7%,7.3%,100.0%,94.5%,5.5%,100.0%,92.7%,7.3%,100.0%,94.5%,5.5%,100.0%,9.1%,0.0%,3.6%
ACAA ELEMENTARY ARIZONA CONSERVATORY FOR ARTS AND ACADEMICS K-5,16454 NORTH 28TH AVENUE,PHOENIX,MARICOPA,85083,NO,,CHARTER,<20,50.0%,21.4%,71.4%,78.6%,21.4%,100.0%,78.6%,21.4%,100.0%,85.7%,14.3%,100.0%,92.9%,7.1%,100.0%,21.4%,0.0%,21.4%
ACACIA ELEMENTARY SCHOOL - PHOENIX,3021 W EVANS DR,PHOENIX,MARICOPA,85053,NO,,PUBLIC,123,89.4%,10.6%,100.0%,91.9%,8.1%,100.0%,90.2%,9.8%,100.0%,89.4%,10.6%,100.0%,92.7%,7.3%,100.0%,11.4%,0.0%,7.3%
ACACIA ELEMENTARY SCHOOL - VAIL,12955 E COLOSSAL CAVE RD,VAIL,PIMA,85641,NO,,PUBLIC,91,96.7%,1.1%,100.0%,91.2%,3.3%,100.0%,90.1%,3.3%,100.0%,96.7%,1.1%,100.0%,96.7%,1.1%,97.8%,3.3%,0.0%,1.1%
ACADEMY DEL SOL - HOPE,7102 W VALLEY CREST PL,TUCSON,PIMA,85757,YES,Both,CHARTER,55,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,0.0%
ACADEMY DEL SOL - ROGER RD,732 W ROGER RD,TUCSON,PIMA,85705,YES,Both,CHARTER,22,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,0.0%
ACADEMY OF MATH AND SCIENCE - DESERT SKY,5701 W MCDOWELL RD,PHOENIX,MARICOPA,85035,YES,LPN,CHARTER,122,82.0%,0.0%,82.0%,86.9%,1.6%,88.5%,87.7%,0.0%,87.7%,88.5%,0.0%,88.5%,90.2%,0.0%,90.2%,1.6%,0.0%,0.0%
ACADEMY OF MATH AND SCIENCE - PRINCE RD,1557 W PRINCE RD,TUCSON,PIMA,85705,NO,,CHARTER,53,66.0%,5.7%,71.7%,90.6%,9.4%,100.0%,92.5%,7.5%,100.0%,94.3%,5.7%,100.0%,98.1%,1.9%,100.0%,13.2%,0.0%,0.0%
ACADEMY OF MATH AND SCIENCE AVONDALE,10649  W BUCKEYE ROAD,PHOENIX,MARICOPA,85353,NO,,CHARTER,124,87.1%,11.3%,98.4%,87.1%,10.5%,97.6%,88.7%,10.5%,99.2%,94.4%,5.6%,100.0%,94.4%,5.6%,100.0%,12.1%,0.0%,4.0%
